Paper,Set,Question,Vajiram and Ravi,Study IQ,PW OnlyIAS,Insight IAS,IAS Baba
1,A,1,B,B,B,B,B
1,A,2,D,A,D,D,D
1,A,3,B,B,B,B,B
1,A,4,B,B,B,B,B
1,A,5,D,D,D,D,D
1,A,6,C,C,C,C,C
1,A,7,A,A,A,A,A
1,A,8,A,A,A,A,A
1,A,9,A,A,A,A,A
1,A,10,A,A,A,A,A
1,A,11,C,C,C,A,C
1,A,12,C,C,C,C,C
1,A,13,B,B,B,B,B
1,A,14,A,A,A,A,A
1,A,15,B,B,B,A,B
1,A,16,C,C,C,C,C
1,A,17,B,B,B,D,B
1,A,18,D,D,D,C,D
1,A,19,B,B,B,B,B
1,A,20,C,C,C,B,A
1,A,21,B,B,B,B,B
1,A,22,C,C,C,C,C
1,A,23,D,D,D,D,D
1,A,24,D,D,D,D,D
1,A,25,C,C,C,C,C
1,A,26,C,C,C,C,C
1,A,27,B,A,A,A,A
1,A,28,C,C,C,C,C
1,A,29,D,C,C,C,C
1,A,30,C,C,C,C,C
1,A,31,B,B,B,B,B
1,A,32,C,D,C,C,D
1,A,33,B,B,B,B,B
1,A,34,A,A,A,A,A
1,A,35,A,A,A,A,A
1,A,36,C,C,C,C,C
1,A,37,D,D,D,D,D
1,A,38,C,C,C,C,C
1,A,39,B,B,B,B,B
1,A,40,B,B,B,B,B
1,A,41,C,C,C,C,C
1,A,42,D,D,D,D,D
1,A,43,C,C,C,C,C
1,A,44,C,C,C,C,C
1,A,45,B,B,B,B,B
1,A,46,B,B,B,B,B
1,A,47,C,C,C,C,C
1,A,48,D,A,D,D,D
1,A,49,D,D,D,D,D
1,A,50,A,A,A,A,B
1,A,51,C,D,C,C,C
1,A,52,B,C,C,C,C
1,A,53,A,A,A,A,A
1,A,54,A,A,A,A,A
1,A,55,C,C,C,C,C
1,A,56,B,D,D,D,B
1,A,57,D,D,D,D,D
1,A,58,A,A,A,A,A
1,A,59,D,D,D,D,D
1,A,60,B,B,B,B,C
1,A,61,D,D,D,D,D
1,A,62,A,A,A,D,A
1,A,63,D,D,D,D,D
1,A,64,C,C,B,C,C
1,A,65,A,A,A,A,A
1,A,66,C,C,C,C,C
1,A,67,C,C,C,C,C
1,A,68,A,A,A,A,A
1,A,69,B,B,B,B,B
1,A,70,D,D,D,D,D
1,A,71,B,B,B,B,B
1,A,72,C,C,C,C,C
1,A,73,B,B,B,B,B
1,A,74,A,A,A,A,A
1,A,75,C,C,C,C,C
1,A,76,C,C,B,C,B
1,A,77,A,A,A,A,A
1,A,78,A,A,A,A,A
1,A,79,C,C,C,C,C
1,A,80,D,D,D,D,D
1,A,81,A,A,A,A,A
1,A,82,A,A,A,D,A
1,A,83,C,C,C,C,C
1,A,84,B,B,B,B,B
1,A,85,A,A,A,A,A
1,A,86,A,A,A,A,A
1,A,87,C,C,C,C,C
1,A,88,D,D,D,D,B
1,A,89,D,D,D,D,D
1,A,90,A,A,A,A,A
1,A,91,D,D,D,D,D
1,A,92,D,C,D,D,D
1,A,93,C,C,C,C,C
1,A,94,D,D,D,D,C
1,A,95,A,A,A,A,A
1,A,96,D,D,D,D,D
1,A,97,A,A,A,A,A
1,A,98,A,A,A,A,A
1,A,99,A,A,A,A,D
1,A,100,B,B,B,B,B
1,B,1,C,C,C,C,C
1,B,2,D,D,D,D,D
1,B,3,C,C,C,C,C
1,B,4,C,C,C,C,C
1,B,5,B,B,B,B,B
1,B,6,B,B,B,B,B
1,B,7,C,C,C,C,C
1,B,8,D,A,D,D,D
1,B,9,D,D,D,D,D
1,B,10,A,A,A,A,B
1,B,11,B,B,B,B,A
1,B,12,C,D,C,C,D
1,B,13,B,B,B,B,B
1,B,14,A,A,A,A,A
1,B,15,A,A,A,A,A
1,B,16,C,C,C,C,C
1,B,17,D,D,D,D,D
1,B,18,C,C,C,C,C
1,B,19,B,B,B,B,B
1,B,20,B,B,B,B,B
1,B,21,C,C,C,C,C
1,B,22,C,C,C,C,C
1,B,23,B,B,B,B,B
1,B,24,A,A,A,A,A
1,B,25,B,B,B,B,B
1,B,26,C,C,C,C,C
1,B,27,B,B,B,B,B
1,B,28,D,D,D,D,D
1,B,29,B,B,B,B,B
1,B,30,C,C,C,C,A
1,B,31,B,B,B,B,B
1,B,32,D,A,D,D,D
1,B,33,B,B,B,B,B
1,B,34,B,B,B,B,B
1,B,35,D,D,D,D,D
1,B,36,C,C,C,C,C
1,B,37,A,A,A,A,A
1,B,38,A,A,A,A,A
1,B,39,A,A,A,A,A
1,B,40,A,A,A,A,A
1,B,41,B,B,B,B,B
1,B,42,C,C,C,C,C
1,B,43,D,D,D,D,D
1,B,44,D,D,D,D,D
1,B,45,C,C,C,C,C
1,B,46,C,C,C,C,C
1,B,47,B,A,A,A,A
1,B,48,C,C,C,C,C
1,B,49,D,C,C,C,C
1,B,50,C,C,C,C,C
1,B,51,D,D,D,D,D
1,B,52,D,C,D,D,D
1,B,53,C,C,C,C,C
1,B,54,D,D,D,D,C
1,B,55,A,A,A,A,A
1,B,56,D,D,D,D,D
1,B,57,A,A,A,A,A
1,B,58,A,A,A,A,A
1,B,59,A,A,A,A,D
1,B,60,B,B,B,B,B
1,B,61,A,A,A,A,A
1,B,62,A,A,A,D,A
1,B,63,C,C,C,C,C
1,B,64,B,B,B,B,B
1,B,65,A,A,A,A,A
1,B,66,A,A,A,A,A
1,B,67,C,C,C,C,C
1,B,68,D,D,D,D,B
1,B,69,D,D,D,D,D
1,B,70,A,A,A,A,A
1,B,71,D,D,D,D,D
1,B,72,A,A,A,D,A
1,B,73,D,D,D,D,D
1,B,74,C,C,B,C,C
1,B,75,A,A,A,A,A
1,B,76,C,C,C,C,C
1,B,77,C,C,C,C,C
1,B,78,A,A,A,A,A
1,B,79,B,B,B,B,B
1,B,80,D,D,D,D,D
1,B,81,C,D,C,C,C
1,B,82,B,C,C,C,C
1,B,83,A,A,A,A,A
1,B,84,A,A,A,A,A
1,B,85,C,C,C,C,C
1,B,86,B,D,D,D,B
1,B,87,D,D,D,D,D
1,B,88,A,A,A,A,A
1,B,89,D,D,D,D,D
1,B,90,B,B,B,B,C
1,B,91,B,B,B,B,B
1,B,92,C,C,C,C,C
1,B,93,B,B,B,B,B
1,B,94,A,A,A,A,A
1,B,95,C,C,C,C,C
1,B,96,C,C,B,C,B
1,B,97,A,A,A,A,A
1,B,98,A,A,A,A,A
1,B,99,C,C,C,C,C
1,B,100,D,D,D,D,D
1,C,1,D,D,D,D,D
1,C,2,D,C,D,D,D
1,C,3,C,C,C,C,C
1,C,4,D,D,D,D,C
1,C,5,A,A,A,A,A
1,C,6,D,D,D,D,D
1,C,7,A,A,A,A,A
1,C,8,A,A,A,A,A
1,C,9,A,A,A,A,D
1,C,10,B,B,B,B,B
1,C,11,A,A,A,A,A
1,C,12,A,A,A,D,A
1,C,13,C,C,C,C,C
1,C,14,B,B,B,B,B
1,C,15,A,A,A,A,A
1,C,16,A,A,A,A,A
1,C,17,C,C,C,C,C
1,C,18,D,D,D,D,B
1,C,19,D,D,D,D,D
1,C,20,A,A,A,A,A
1,C,21,B,B,B,B,B
1,C,22,C,C,C,C,C
1,C,23,B,B,B,B,B
1,C,24,A,A,A,A,A
1,C,25,C,C,C,C,C
1,C,26,C,C,B,C,B
1,C,27,A,A,A,A,A
1,C,28,A,A,A,A,A
1,C,29,C,C,C,C,C
1,C,30,D,D,D,D,D
1,C,31,D,D,D,D,D
1,C,32,A,A,A,D,A
1,C,33,D,D,D,D,D
1,C,34,C,C,B,C,C
1,C,35,A,A,A,A,A
1,C,36,C,C,C,C,C
1,C,37,C,C,C,C,C
1,C,38,A,A,A,A,A
1,C,39,B,B,B,B,B
1,C,40,D,D,D,D,D
1,C,41,C,D,C,C,C
1,C,42,B,C,C,C,C
1,C,43,A,A,A,A,A
1,C,44,A,A,A,A,A
1,C,45,C,C,C,C,C
1,C,46,B,D,D,D,B
1,C,47,D,D,D,D,D
1,C,48,A,A,A,A,D
1,C,49,D,D,D,D,D
1,C,50,B,B,B,B,C
1,C,51,C,C,C,C,C
1,C,52,D,D,D,D,D
1,C,53,C,C,C,C,C
1,C,54,C,C,C,C,C
1,C,55,B,B,B,B,B
1,C,56,B,B,B,B,D
1,C,57,C,C,C,C,C
1,C,58,D,A,D,D,D
1,C,59,D,D,D,D,D
1,C,60,A,A,A,A,B
1,C,61,B,B,B,B,B
1,C,62,C,D,C,C,C
1,C,63,B,B,B,B,B
1,C,64,A,A,A,A,B
1,C,65,A,A,A,A,A
1,C,66,C,C,C,C,C
1,C,67,D,D,D,D,D
1,C,68,C,C,C,C,C
1,C,69,B,B,B,B,B
1,C,70,B,B,B,B,B
1,C,71,B,B,B,B,B
1,C,72,C,C,C,C,C
1,C,73,D,D,D,D,D
1,C,74,D,D,D,D,D
1,C,75,C,C,C,C,C
1,C,76,C,C,C,C,C
1,C,77,B,A,A,A,A
1,C,78,C,C,C,C,C
1,C,79,D,C,C,C,C
1,C,80,C,C,C,C,C
1,C,81,C,C,C,C,C
1,C,82,C,C,C,C,C
1,C,83,B,B,B,B,B
1,C,84,A,A,A,A,A
1,C,85,B,B,B,B,B
1,C,86,C,C,C,C,B
1,C,87,B,B,B,B,B
1,C,88,D,D,D,D,D
1,C,89,B,B,B,B,B
1,C,90,C,C,C,C,C
1,C,91,B,B,B,B,B
1,C,92,D,A,D,D,D
1,C,93,B,B,B,B,B
1,C,94,B,B,B,B,B
1,C,95,D,D,D,D,D
1,C,96,C,C,C,C,C
1,C,97,A,A,A,A,A
1,C,98,A,A,A,A,A
1,C,99,A,A,A,A,C
1,C,100,A,A,A,A,A
1,D,1,B,B,B,B,B
1,D,2,C,C,C,C,C
1,D,3,B,B,B,B,B
1,D,4,A,A,A,A,A
1,D,5,C,C,C,C,C
1,D,6,C,C,B,C,B
1,D,7,A,A,A,A,A
1,D,8,A,A,A,A,A
1,D,9,C,C,C,C,C
1,D,10,D,D,D,D,D
1,D,11,D,D,D,D,D
